name,team,pos,targets,receptions,yards,rec_touchdowns,avg_cushion,avg_separation,avg_intended_air_yards,avg_yac,avg_expected_yac,avg_yac_above_expectation,catch_percentage,percent_share_of_intended_air_yards,catch_pct,ypr,ypt,td_rate,yac_oe,name_last,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_epa,air_yards_total,s_sep,s_yac_oe,s_ypt,s_catch,s_air,s_cushion,s_drop,s_btk,composite,rank
AJ Barner,SEA,TE,103,80,753.0,9,4.274776895943563,4.401554163971144,3.9758509039979626,5.201825396825397,4.4542846282077315,0.7475407686176648,77.34105763517528,10.93903034258129,77.66990291262135,9.4125,7.310679611650485,8.737864077669903,0.7475407686176648,BARNER,,,,,,,86.5614224993431,34.527497458164724,38.936198458284295,86.24866058382307,1.5000406603879888,0.0,50.0,50.0,49.46122220300357,24
Tre Tucker,LV,WR,166,102,1239.0,9,7.527578167761358,3.619580597049184,10.018314009661836,5.022978435672515,4.491016303928855,0.53196213174366,62.9176731078905,30.20797341975171,61.44578313253012,12.147058823529411,7.463855421686747,5.421686746987952,0.53196213174366,TUCKER,,,,,,,59.99735712192676,30.577432275963996,40.76676807503488,46.85497844219687,39.975557757373075,91.84466433276316,50.0,50.0,49.2546477075966,25
Kayshon Boutte,NE,WR,69,51,857.0,10,5.243943478260869,2.3638358014498704,16.6870347826087,1.3480393939393938,1.624027148877417,-0.2759877549380228,77.34782608695653,29.773934218572418,73.91304347826086,16.80392156862745,12.420289855072463,14.492753623188406,-0.2759877549380228,BOUTTE,,,,,,,17.339026637746223,15.773299720799963,100.0,77.12665406427217,82.43878436342885,27.36496084364857,50.0,50.0,49.11332014223832,26
DeMario Douglas,NE,WR,64,39,552.0,5,6.110592334494774,3.6280790120054007,10.753674948240166,3.616088709677418,3.0629613016823467,0.5531274079950714,50.657349896480326,20.41157019432123,60.9375,14.153846153846153,8.625,7.8125,0.5531274079950714,DOUGLAS,,,,,,,60.286052878472574,30.965245382144936,54.643345487693715,45.6208193979933,44.65798475278242,51.83527631751522,50.0,50.0,48.576504727622705,27
Cade Otton,TB,TE,139,101,1034.0,2,5.994450633788869,3.6607226060614155,5.0173667450519295,6.519505694556543,5.369898259369396,1.1496074351871464,71.54125024495394,14.875113985008836,72.66187050359713,10.237623762376238,7.438848920863309,1.4388489208633095,1.1496074351871464,OTTON,,,,,,,61.394973439651025,41.89459822273556,40.467921014145844,74.08868891508867,8.131915749818091,48.555950399639855,50.0,50.0,48.44730715485203,28
Deebo Samuel,WAS,WR,99,72,727.0,5,6.291604938271605,3.5421433779842006,5.321818181818182,6.423749999999999,5.335037472445612,1.088712527554387,72.72727272727273,13.985453387131027,72.72727272727273,10.097222222222221,7.343434343434343,5.05050505050505,1.088712527554387,SAMUEL,,,,,,,57.366772870870086,40.77881579688194,39.3276428827933,74.24749163879598,10.070516988362957,56.946268488454635,50.0,50.0,48.0749503984053,29
Chigoziem Okonkwo,TEN,TE,79,56,560.0,2,5.806842105263158,3.8640859936594985,4.439620253164556,6.403392857142859,5.231296959395588,1.1720958977472709,70.88607594936708,9.037476422630151,70.88607594936708,10.0,7.0886075949367084,2.5316455696202533,1.1720958977472709,OKONKWO,,,,,,,68.30333780392557,42.30665618101966,36.28226578816796,69.7768934422759,4.453102220034275,43.25871860202122,50.0,50.0,48.06127615533336,30
Alec Pierce,IND,WR,154,85,1794.0,10,6.133625457875457,2.1350976739531604,19.444970362970363,3.9301425531914895,3.0153158306062853,0.9148267225852041,55.353812853812855,48.177442445797645,55.1948051948052,21.105882352941176,11.64935064935065,6.493506493506493,0.9148267225852041,PIERCE,,,,,,,9.568668622899423,37.59269181981481,90.78667913672473,31.677018633540378,100.0,52.48562944660502,50.0,50.0,47.8066562732019,31
Colby Parkinson,LAR,TE,92,69,672.0,14,6.0289357359965265,3.587525271867456,5.013433673469387,6.532428571428572,5.795967927997459,0.7364606434311131,73.01020408163265,8.595480760127737,75.0,9.73913043478261,7.304347826086956,15.217391304347828,0.7364606434311131,PARKINSON,,,,,,,58.908420372857925,34.32447540853833,38.86052871467639,79.76588628762539,8.106871829769009,49.529656559983714,50.0,50.0,47.109962287933996,32
Dawson Knox,BUF,TE,66,49,559.0,4,4.77953947368421,3.9970412960652286,5.07588775510204,6.761597222222222,6.7097244627914465,0.05187275943077507,74.79591836734694,15.94419495777276,74.24242424242425,11.408163265306122,8.469696969696969,6.0606060606060606,0.05187275943077507,KNOX,,,,,,,72.81990139990765,21.780715025051634,52.78735394049888,77.92642140468227,8.504549572042894,14.25225387175968,50.0,50.0,46.98008015311757,33
