name,team,rush_attempts,rush_yards,rush_touchdowns,efficiency,avg_time_to_los,avg_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,expected_rush_yards,percent_attempts_gte_eight_defenders,ypc,td_rate,name_last,ryoe_att,broken_tackles,drops,rec_yards,receptions,rec_targets,rush_epa,rec_epa,total_epa,s_ryoe,s_eff,s_ypc,s_poe,s_btk,s_recv,s_stacks,composite,rank
Chris Rodriguez Jr.,WAS,90,404,4,3.3601292005675854,2.5979582679225537,4.488365800865801,51.17976976048104,0.50323175354667,0.4652056277056277,352.820230239519,33.28463203463203,4.488888888888889,4.444444444444445,JR.,0.50323175354667,,,,,,,,0.0,68.93563942421459,0.9508562797409135,51.29222308039595,88.01798457890563,50.0,50.0,64.93894897307092,50.99508935490988,27
Jonathan Taylor,IND,646,3170,36,3.9483616864287003,2.7679277250378314,4.881546649849024,390.10552771041057,0.5512426806863693,0.3705631039977137,2741.8944722895894,17.909726317427555,4.9071207430340555,5.572755417956656,TAYLOR,0.5512426806863693,,,,,,,,0.0,70.92824691481194,20.730223630710274,68.50659507494683,43.12515992438237,50.0,50.0,23.86795963577264,50.65036029624594,28
Kimani Vidal,LAC,284,1212,6,4.157994171354685,2.9215814446990915,4.169636206282419,165.61623081408342,0.5403207518909915,0.3796038140603358,1020.3837691859165,31.106288541597095,4.267605633802817,2.112676056338028,VIDAL,0.5403207518909915,,,,,,,,0.0,70.47495183333776,27.77913376014263,42.184231349343925,47.41353892879536,50.0,50.0,59.11993947662256,50.26206961305126,29
Saquon Barkley,PHI,554,2250,14,4.598771597413351,2.9784534433235548,4.1345579858737755,141.25852854978336,0.31130101900683516,0.38225389612967015,2082.7414714502165,30.39215627209048,4.061371841155235,2.527075812274368,BARKLEY,0.31130101900683516,,,,,,,,0.0,60.96989824602163,42.600312188033016,33.69567365270731,48.670581376499825,50.0,50.0,57.21227777346777,49.347068648252126,30
Kyle Monangai,CHI,279,1331,9,3.815361788060124,2.531230091911013,4.566290280232588,114.25277664827122,0.2529492460214906,0.4121174810961396,1180.7472233517287,21.642380055841592,4.770609318996415,3.225806451612903,MONANGAI,0.2529492460214906,,,,,,,,0.0,58.548112480420556,16.258090739881165,62.887801547866154,62.83610265520876,50.0,50.0,33.83899846423732,48.31054211651083,31
Quinshon Judkins,CLE,443,1613,14,4.507877182106246,3.01347997265158,3.6420068259390512,147.94734150610748,0.3039792887183891,0.37803574032864706,1445.0526584938925,46.40972014629304,3.641083521444695,3.160270880361174,JUDKINS,0.3039792887183891,,,,,,,,0.0,60.6660229516654,39.54397974512324,16.396657786855258,46.6697373444323,50.0,50.0,100.0,47.95514952485112,32
Tony Pollard,TEN,478,2146,10,4.158450117346621,2.856577052928329,4.380514136784191,222.71750017910932,0.2818241702715212,0.3854439615655139,1921.2824998208907,23.499351806838437,4.489539748953975,2.092050209205021,POLLARD,0.2818241702715212,,,,,,,,0.0,59.746514464694386,27.79446498288784,51.3190124011178,50.18376004753535,50.0,50.0,38.799527548946585,47.94779649001124,33
Tyler Allgeier,ATL,255,934,13,4.830162477809222,2.902668996322106,3.630879953379954,-21.642642356781607,-0.037966875686298876,0.4402390098164746,951.6426423567816,25.549825174825177,3.6627450980392156,5.098039215686274,ALLGEIER,-0.037966875686298876,,,,,,,,0.0,46.47416019943779,50.38085021512653,17.28824563170914,76.17529531827986,50.0,50.0,44.27695754962368,47.037055059299036,34
Nick Chubb,HOU,199,807,5,3.6164091016181006,2.639549455375542,3.984589261590226,109.18754448534816,0.6343561332536379,0.3976565101565101,679.8124555146518,25.847296387315673,4.055276381909548,2.512562814070352,CHUBB,0.6343561332536379,,,,,,,,0.0,74.37772181607883,9.568289742511366,33.44478529522591,55.976671954369806,50.0,50.0,45.07159247103844,46.72691810936453,35
Travis Etienne,JAX,512,2170,14,4.5403611038724145,2.900739254119886,4.130952525741726,88.81700775932359,0.08602629815088356,0.37780591103141464,2048.1829922406764,21.90281156953894,4.23828125,2.734375,ETIENNE,0.08602629815088356,,,,,,,,0.0,51.620274671503694,40.63625437642419,40.97724329645052,46.560719897127434,50.0,50.0,34.5346892293645,46.04153512689697,36
