name,team,dropbacks,cpoe,avg_air_yards,avg_completed_air,air_diff,aggressiveness,time_to_throw,passer_rating,comp_pct,pass_yards,pass_tds,interceptions,weeks,ypa,td_rate,int_rate,name_last,times_pressured,times_blitzed,times_hurried,times_hit,bad_throws,bad_throw_pct,drops,times_sacked,pressure_pct,sack_rate,s_cpoe,s_passer_rat,s_air_yards,s_aggress,s_td_int,composite,rank
Justin Fields,NYJ,374,0.360797263442727,6.838638874154264,5.336717935090704,-1.5019209390635613,17.131627193967347,2.983267492264862,94.15070480181308,65.05287805639469,2391,13,1,7,6.393048128342246,3.4759358288770055,0.267379679144385,FIELDS,,,,,,,,,,,53.2419927707759,64.85790243851653,32.69643916013499,62.615741086299295,83.80551301684534,61.27119233016031,15
Lamar Jackson,BAL,582,-2.0882694123174077,8.942713551091288,7.430072082236362,-1.5126414688549248,11.540478136855514,2.9895182665346507,102.09063069914829,64.04004269762093,4847,40,13,12,8.328178694158076,6.872852233676976,2.2336769759450172,JACKSON,,,,,,,,,,,41.58418447931228,78.37505437353758,76.14223184853705,8.380993485218593,79.64272745930755,58.83403096881909,16
Spencer Rattler,NO,513,3.269474903521691,7.982621584497611,5.390559129518134,-2.5920624549794775,15.377601281110957,2.688516137685677,87.1799290052114,68.55382959903541,3172,16,10,9,6.183235867446394,3.1189083820662766,1.949317738791423,RATTLER,,,,,,,,,,,67.08759634103514,52.990658743048826,56.31786106947769,45.60150095465425,54.890160572436706,58.75826928904762,17
Josh Allen,BUF,920,0.8669114992573149,6.871845603844186,4.89486643879771,-1.9769791650464763,11.679388216778229,2.87493130082553,101.29410052979406,69.00616779165357,7336,50,20,17,7.973913043478261,5.434782608695652,2.1739130434782608,ALLEN,,,,,,,,,,,55.65114838630271,77.01901913351064,33.38210526779821,9.728436210658293,69.3962647313403,58.746026040336744,18
Jaxson Dart,NYG,665,-1.119940739241282,8.319403829976443,5.216050389007754,-3.103353440968688,14.864555752315136,2.828750835320705,95.03406963467535,64.35178577299801,4511,30,9,12,6.783458646616541,4.511278195488721,1.3533834586466165,DART,,,,,,,,,,,46.19352817157624,66.36176743854901,63.27187832874523,40.62490410883924,74.97242340153599,57.96783136249332,19
C.J. Stroud,HOU,836,1.1146007544132008,7.934765983737077,6.071414575255299,-1.863351408481778,11.721201249819211,2.825700126017843,94.61344346797145,65.23692861962348,6003,38,16,14,7.180622009569378,4.545454545454546,1.9138755980861244,STROUD,,,,,,,,,,,56.83017461741442,65.64568168703207,55.32971909314453,10.134027131281103,66.52677740571671,57.584605176508376,20
Davis Mills,HOU,305,-2.1358847676023927,8.735424738963397,6.991814461682108,-1.7436102772812887,20.985631743109884,2.5722213366058186,83.10612142284944,58.12946770977144,1771,10,2,5,5.80655737704918,3.278688524590164,0.6557377049180327,MILLS,,,,,,,,,,,41.357530509807745,46.0552947665023,71.86204785267073,100.0,76.23678859237314,56.053157442236966,21
Trevor Lawrence,JAX,1120,-1.9974153518377362,8.983130533656734,6.938564996552969,-2.0445655371037654,16.844529313097407,2.867220293167776,91.37040896858063,61.49365695573608,8014,58,24,18,7.1553571428571425,5.178571428571429,2.142857142857143,LAWRENCE,,,,,,,,,,,42.01665911548947,60.12464904446131,76.97677820037345,59.83086074296795,67.88790746007439,55.761709907363624,22
Tyler Shough,NO,652,0.7928280835082469,8.352459762594075,6.047086398065207,-2.3053733645288683,11.621994760505975,2.6863426925670577,92.18638347332241,67.98286536665046,4768,20,12,11,7.3128834355828225,3.067484662576687,1.8404907975460123,SHOUGH,,,,,,,,,,,55.29850373725028,61.51378686492887,63.95443071691334,9.171713507850004,56.18194458797997,54.49261153163089,23
Baker Mayfield,TB,1086,-1.8250426485278557,8.062003302602015,5.102187665664692,-2.9598156369373236,17.300798399776962,2.8434069114222376,89.83663654228502,63.128414834133615,7386,52,22,18,6.801104972375691,4.788213627992634,2.0257826887661143,MAYFIELD,,,,,,,,,,,42.83717084338852,57.513511964839225,57.956967183826094,64.25671998969386,66.67399930621949,53.98257396379377,24
